Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2018,12,17,1.33797000,1.34204000,1.33724000,1.34067000,52848,0.99578858,1.34201674,1.34521244,1.34921449,1.35371924,1.32774655,1.33217962,1.33614290,1.33932461
2018,12,14,1.33528000,1.34011000,1.33447000,1.33937000,52507,0.99903034,1.34071543,1.34390804,1.34790621,1.35240659,1.32645908,1.33088785,1.33484729,1.33802592
2018,12,13,1.33496000,1.33836000,1.33381000,1.33525000,59505,0.99692393,1.33659129,1.33977408,1.34375995,1.34824649,1.32237880,1.32679395,1.33074120,1.33391005
2018,12,12,1.33891000,1.33966000,1.33222000,1.33502000,58935,0.99982775,1.33636106,1.33954330,1.34352848,1.34801425,1.32215101,1.32656540,1.33051197,1.33368028
2018,12,11,1.33958000,1.34238000,1.33780000,1.33893000,63068,1.00292880,1.34027499,1.34346655,1.34746340,1.35196230,1.32602332,1.33045064,1.33440877,1.33758636
2018,12,10,1.33327000,1.34162000,1.32926000,1.33950000,65508,1.00042571,1.34084556,1.34403848,1.34803703,1.35253785,1.32658783,1.33101703,1.33497685,1.33815579
2018,12,7,1.33807000,1.33997000,1.32535000,1.33191000,74046,0.99433371,1.33324794,1.33642276,1.34039866,1.34487398,1.31907099,1.32347510,1.32741248,1.33057340
2018,12,6,1.33524000,1.34442000,1.33514000,1.33814000,51895,1.00467749,1.33948420,1.34267387,1.34666837,1.35116461,1.32524094,1.32966564,1.33362144,1.33679715
2018,12,5,1.32547000,1.33990000,1.32525000,1.33527000,69756,0.99785523,1.33661131,1.33979415,1.34378007,1.34826668,1.32239860,1.32681382,1.33076113,1.33393003
2018,12,4,1.31959000,1.32662000,1.31639000,1.32600000,65528,0.99305758,1.32733200,1.33049274,1.33445099,1.33890645,1.31321796,1.31760253,1.32152243,1.32466933
2018,12,3,1.32347000,1.32675000,1.31598000,1.31960000,59508,0.99517345,1.32092557,1.32407105,1.32801021,1.33244416,1.30687965,1.31124306,1.31514404,1.31827576
2018,11,30,1.32747000,1.33332000,1.32721000,1.32934000,61241,1.00738102,1.33067536,1.33384405,1.33781228,1.34227896,1.31652576,1.32092137,1.32485115,1.32800598
2018,11,29,1.32724000,1.33125000,1.32531000,1.32758000,58715,0.99867603,1.32891359,1.33207809,1.33604106,1.34050183,1.31478273,1.31917252,1.32309710,1.32624775
2018,11,28,1.32920000,1.33593000,1.32417000,1.32743000,58937,0.99988701,1.32876344,1.33192758,1.33589011,1.34035037,1.31463418,1.31902347,1.32294760,1.32609790
2018,11,27,1.32516000,1.33279000,1.32354000,1.32940000,52375,1.00148407,1.33073542,1.33390426,1.33787266,1.34233954,1.31658519,1.32098099,1.32491095,1.32806592
2018,11,26,1.32207000,1.32604000,1.31868000,1.32516000,55788,0.99681059,1.32649116,1.32964989,1.33360564,1.33805828,1.31238606,1.31676785,1.32068527,1.32383018
2018,11,23,1.31853000,1.32582000,1.31841000,1.32297000,41295,0.99834737,1.32429896,1.32745247,1.33140168,1.33584696,1.31021717,1.31459171,1.31850266,1.32164238
2018,11,22,1.32300000,1.32450000,1.31821000,1.31857000,54928,0.99667415,1.31989454,1.32303756,1.32697364,1.33140413,1.30585958,1.31021958,1.31411752,1.31724679
2018,11,21,1.33056000,1.33170000,1.32279000,1.32307000,63963,1.00341279,1.32439906,1.32755281,1.33150232,1.33594793,1.31031620,1.31469108,1.31860233,1.32174227
2018,11,20,1.31697000,1.33178000,1.31552000,1.33057000,50623,1.00566863,1.33190659,1.33507822,1.33905012,1.34352093,1.31774391,1.32214358,1.32607700,1.32923475
2018,11,19,1.31507000,1.32016000,1.31414000,1.31697000,62234,0.98977882,1.31829293,1.32143214,1.32536344,1.32978856,1.30427501,1.30862971,1.31252293,1.31564840
2018,11,16,1.31764000,1.31862000,1.31267000,1.31471000,72492,0.99828394,1.31603066,1.31916449,1.32308904,1.32750656,1.30203679,1.30638402,1.31027056,1.31339066
2018,11,15,1.32402000,1.32491000,1.31558000,1.31764000,71505,1.00222863,1.31896360,1.32210441,1.32603771,1.33046508,1.30493855,1.30929547,1.31319066,1.31631772
2018,11,14,1.32326000,1.32637000,1.32073000,1.32406000,65340,1.00487235,1.32539005,1.32854616,1.33249863,1.33694757,1.31129666,1.31567481,1.31958898,1.32273128
2018,11,13,1.32445000,1.32632000,1.32150000,1.32326000,59700,0.99939580,1.32458925,1.32774345,1.33169353,1.33613978,1.31050437,1.31487988,1.31879169,1.32193208
2018,11,12,1.32037000,1.32489000,1.31825000,1.32463000,64780,1.00103532,1.32596063,1.32911810,1.33307226,1.33752312,1.31186117,1.31624120,1.32015706,1.32330071
2018,11,9,1.31539000,1.32328000,1.31400000,1.31996000,66147,0.99647449,1.32128593,1.32443227,1.32837250,1.33280766,1.30723618,1.31160078,1.31550283,1.31863540
2018,11,8,1.31102000,1.31829000,1.30873000,1.31539000,72002,0.99653777,1.31671134,1.31984679,1.32377337,1.32819318,1.30271024,1.30705972,1.31094826,1.31406998
2018,11,7,1.31235000,1.31583000,1.30562000,1.31114000,55002,0.99676902,1.31245707,1.31558239,1.31949629,1.32390181,1.29850120,1.30283663,1.30671261,1.30982425
2018,11,6,1.31086000,1.31442000,1.31007000,1.31233000,51996,1.00090761,1.31364827,1.31677642,1.32069387,1.32510340,1.29967973,1.30401910,1.30789859,1.31101305
2018,11,5,1.30744000,1.31155000,1.30709000,1.31086000,62062,0.99887985,1.31217679,1.31530144,1.31921450,1.32361909,1.29822390,1.30255841,1.30643356,1.30954453
2018,11,2,1.30848000,1.31188000,1.30482000,1.31017000,58774,0.99947363,1.31148610,1.31460910,1.31852010,1.32292237,1.29754055,1.30187278,1.30574589,1.30885522
